Company Name,Ticker,Exchange
Southern Cross Gold Consolidated Ltd.,SXGC,TSX
Capstone Copper Corp.,CSC,TSX
First Quantum Ltd.,FM,TSX
Teck Resources Limited,TECK.B,TSX
Ero Copper Corp,ERO,TSX
Hudbay Minerals Inc.,HBM,TSX
Imperial Metals Corp,III,TSX
Ivanhoe Mines Ltd,IVN,TSX
Lundin Mining Corporation,LUN,TSX
Taseko Mines Ltd.,TKO,TSX
Aldebaran Resources Inc.,ALDE,TSXV
Arizona Sonoran Copper Company,ASCU,TSX
Alta Copper Corp.,ATCU,TSX
ATEX Resources Inc.,ATX,TSXV
Copper Fox Metals Inc,CUU,TSXV
Orezone Gold Corporation,ORE,TSX
Faraday Copper Corp.,FDY,TSX
Foran Mining Corporation,FOM,TSX
Highland Copper Company,HI,TSX
Kutcho Copper Corp.,KC,TSX
Los Andes Copper Ltd.,LA,TSX
McEwen Mining Inc.,MUX,TSX
Northisle Copper and Gold Inc,NCX,TSX
Northern Dynasty Minerals Ltd.,NDM,TSX
Panoro Minerals Ltd,PML,TSX
Seabridge Gold Inc,SEA,TSX
Solaris Resources Inc,SLS,TSX
Barrick Mining Corporation,ABX,TSX
Agnico Eagle Mines Limited,AEM,TSX
Aris Mining Corporation,ARIS,TSX
Alamos Gold Inc.,AGI,TSX
Asante Gold Corporation,ASE,TSX
B2Gold Corporation,BTO,TSX
Centerra Gold Incorporated,CG,TSX
China Gold International Resources Corporation,CGG,TSX
Eldorado Mining plc,ELD,TSX
Equinox Gold Corp.,EQX,TSX
Galiano Gold Inc.,GAU,TSX
GoGold Resources Inc.,GGD,TSX
Integra Resources Corp,ITR,TSX
Jaguar Mining Inc.,JAG,TSX
Kinross Gold Corporation,K,TSX
Lundin Gold Inc.,LUG,TSX
Minera Alamos Inc.,MAI,TSXV
Mako Mining Corp,MKO,TSXV
OceanaGold Corporation,OGC,TSX
Orla Mining Ltd,OLA,TSX
Pan American Silver Corporation,PASS,TSX
Torex Gold Resources Inc.,TXG,TSX
Wesdome Gold Mines Ltd.,WDO,TSX
K92 Mining Inc.,KNT,TSX
Liberty Gold Corp,LGD,TSX
Loncor Gold Incorporated,LN,TSX
Mawson Finland Ltd.,MAW,TSXV
Robex Resources Inc.,RBX,TSXV
Vizsla Resources Corp.,VZLA,TSX
Americas Gold and Silver Corporation,USA,TSX
Pan American Silver Corp.,PAAS,TSX
First Majestic Silver Corp.,AG,TSX
G Mining Ventures Corp.,GMIN,TSX
Artemis Gold Inc.,ARTG,TSXV
SSR Mining Inc.,SSRM,TSX
Discovery Silver Corp.,DSV,TSX
Allied Gold Corporation,AAUC,TSX
Fortuna Mining Corp.,FVI,TSX
Silvercorp Metals Inc.,SVM,TSX
i-80 Gold Corp.,IAU,TSX
Osisko Development Corp.,ODV,TSXV
Thor Explorations Ltd.,THX,TSXV
Amaroq Ltd.,AMRQ,TSXV
TRX Gold Corporation,TRX,TSX
Heliostar Metals Ltd.,HSTR,TSXV
West Red Lake Gold Mines Ltd.,WRLG,TSXV
Erdene Resource Development Corporation,ERD,TSX
Luca Mining Corp.,LUCA,TSXV
Goldgroup Mining Inc.,GGA,TSXV
Cambria Gold Mines Inc.,CAMB,TSXV
Monument Mining Limited,MMY,TSXV
Steppe Gold Ltd.,STGO,TSX
Orvana Minerals Corp.,ORV,TSX
Soma Gold Corp.,SOMA,TSXV
Golconda Gold Ltd.,GG,TSXV
Majestic Gold Corp.,MJS,TSXV
Lion One Metals Limited,LIO,TSXV
Harfang Exploration Inc.,HAR,TSXV
NovaGold Resources Inc.,NG,TSX
Skeena Resources Limited,SKE,TSX
Perpetua Resources Corp.,PPTA,TSX
Aya Gold & Silver Inc.,AYA,TSX
Snowline Gold Corp.,SGD,TSX
Highlander Silver Corp.,HSLV,TSX
Rupert Resources Ltd.,RUP,TSX
Fuerte Metals Corp.,FMT,TSXV
G2 Goldfields Inc.,GTWO,TSX
Omai Gold Mines Corp.,OMG,TSXV
New Found Gold Corp.,NFG,TSXV
Troilus Mining Corp.,TLG,TSX
International Tower Hill Mines Ltd.,ITH,TSX
Goldquest Mining Corp.,GQC,TSXV
Thesis Gold & Silver Inc.,TAU,TSXV
Gold X2 Mining Inc.,AUXX,TSXV
Western Copper and Gold Corporation,WRN,TSX
Benz Mining Corp.,BZ,TSXV
Meridian Mining Plc,MNO,TSX
Freegold Ventures Limited,FVL,TSX
First Mining Gold Corp.,FF,TSX
Belo Sun Mining Corp,BSX,TSX
Goldsky Resources Corp.,GSKR,TSXV
Amex Exploration Inc.,AMX,TSXV
Banyan Gold Corp.,BYN,TSXV
Tudor Gold Corp.,TUD,TSXV
Sitka Gold Corp.,SIG,TSXV
GoldMining Inc.,GOLD,TSX
Patagonia Gold Corp.,PGDC,TSXV
NeXGold Mining Corp.,NEXG,TSXV
St. Augustine Gold and Copper Limited,SAU,TSX
Cabral Gold Inc.,CBR,TSXV
1911 Gold Corporation,AUMB,TSXV
STLLR Gold Inc.,STLR,TSX
Mayfair Gold Corp.,MFG,TSXV
Talisker Resources Ltd.,TSK,TSX
Capitan Silver Corp.,CAPT,TSXV
Roxmore Resources Inc.,RM,TSXV
PPX Mining Corp.,PPX,TSXV
Chesapeake Gold Corp.,CKG,TSXV
Revival Gold Inc.,RVG,TSXV
Newcore Gold Ltd.,NCAU,TSXV
West Point Gold Corp.,WPG,TSXV
Borealis Mining Company Limited,BOGO,TSXV
Black Mammoth Metals Corporation,BMM,TSXV
Scottie Resources Corp.,SCOT,TSXV
TDG Gold Corp.,TDG,TSXV
P2 Gold Inc.,PGLD,TSXV
Helius Minerals Limited,HHH,TSXV
Excellon Resources Inc.,EXN,TSXV
Rua Gold Inc.,RUA,TSX
Nevgold Corp.,NAU,TSXV
Lavras Gold Corp.,LGC,TSXV
Maple Gold Mines Ltd.,MGM,TSXV
Fury Gold Mines Limited,FURY,TSX
Lahontan Gold Corp.,LG,TSXV
Falco Resources Ltd.,FPC,TSXV
Galleon Gold Corp.,GGO,TSXV
Euro Sun Mining Inc.,ESM,TSX
Emerita Resources Corp.,EMO,TSXV
Orosur Mining Inc.,OMI,TSXV
Spanish Mountain Gold Ltd.,SPA,TSXV
Abcourt Mines Inc.,ABI,TSXV
Scorpio Gold Corporation,SGN,TSXV
Canagold Resources Ltd.,CCM,TSX
Unigold Inc.,UGD,TSXV
Cartier Resources Inc.,ECR,TSXV
Teuton Resources Corp.,TUO,TSXV
West Vault Mining Inc.,WVM,TSXV
Trident Resources Corp.,ROCK,TSXV
Wallbridge Mining Company Limited,WM,TSX
Big Ridge Gold Corp.,BRAU,TSXV
Silver Viper Minerals Corp.,VIPR,TSXV
Gold Terra Resource Corp.,YGT,TSXV
Defiance Silver Corp.,DEF,TSXV
Amerigo Resources Ltd.,ARG,TSX
NGEx Minerals Ltd.,NGEX,TSX
Marimaca Copper Corp.,MARI,TSX
Trilogy Metals Inc.,TMQ,TSX
Osisko Metals Incorporated,OM,TSX
Blue Moon Metals Inc.,MOON,TSXV
Doubleview Gold Corp.,DBG,TSXV
Entr??e Resources Ltd.,ETG,TSX
Regulus Resources Inc.,REG,TSXV
Koryx Copper Inc.,KRY,TSXV
Surge Copper Corp.,SURG,TSXV
Element 29 Resources Inc.,ECU,TSXV
Gunnison Copper Corp.,GCU,TSX
Copper Giant Resources Corp.,CGNT,TSXV
Oroco Resource Corp.,OCO,TSXV
Selkirk Copper Mines Inc.,SCMI,TSXV
Vizsla Copper Corp.,VCU,TSXV
NorthWest Copper Corp.,NWST,TSXV
Edge Copper Corporation,EDCU,TSXV
Minsud Resources Corp.,MSR,TSXV
Electra Battery Materials Corporation,ELBM,TSXV
Kodiak Copper Corp.,KDK,TSXV
RTG Mining Inc.,RTG,TSX
Metallic Minerals Corp.,MMG,TSXV
Camino Minerals Corporation,COR,TSXV
Kincora Copper Limited,KCC,TSXV
Lithium Argentina AG,LAR,TSX
Lithium Americas Corp.,LAC,TSX
Standard Lithium Ltd.,SLI,TSXV
PMET Resources Inc.,PMET,TSX
Q2 Metals Corp.,QTWO,TSXV
Li-FT Power Ltd.,LIFT,TSXV
Lithium Ionic Corp.,LTH,TSXV
Frontier Lithium Inc.,FL,TSXV
American Lithium Corp.,LI,TSXV
Lithium Chile Inc.,LITH,TSXV
Rock Tech Lithium Inc.,RCK,TSXV
E3 Lithium Limited,ETL,TSXV
Critical Elements Lithium Corporation,CRE,TSXV
Power Metals Corp.,PWM,TSXV
Century Lithium Corp.,LCE,TSXV
NOA Lithium Brines Inc.,NOAL,TSXV
LithiumBank Resources Corp.,LBNK,TSXV
Brunswick Exploration Inc.,BRW,TSXV
Nevada Lithium Resources Inc.,NVLH,TSXV
Argentina Lithium & Energy Corp.,LIT,TSXV
Endeavour Silver Corp.,EDR,TSX
Avino Silver & Gold Mines Ltd.,ASM,TSX
Santacruz Silver Mining Ltd.,SCZ,TSXV
Andean Precious Metals Corp.,APM,TSX
Bold Ventures Inc.,BOL,TSXV
New Pacific Metals Corp.,NUAG,TSX
Silver Tiger Metals Inc.,SLVR,TSXV
Guanajuato Silver Company Ltd.,GSVR,TSXV
Silver Storm Mining Ltd.,SVRS,TSXV
Silver Mountain Resources Inc.,AGMR,TSX
Silver One Resources Inc.,SVE,TSXV
Apollo Silver Corp.,APGO,TSXV
Argenta Silver Corp.,AGAG,TSXV
Outcrop Silver & Gold Corporation,OCG,TSX
Kootenay Silver Inc.,KTN,TSXV
Alphamin Resources Corp.,AFM,TSXV
Eloro Resources Ltd.,ELO,TSX
Adex Mining Inc.,ADE,TSXV
Tinka Resources Limited,TK,TSXV
Avalon Advanced Materials Inc.,AVL,TSX
TinOne Resources Inc.,TORC,TSXV
Cameco Corporation,CCO,TSX
Energy Fuels Inc.,EFR,TSX
Ur-Energy Inc.,URE,TSX
enCore Energy Corp.,EU,TSXV
NexGen Energy Ltd.,NXE,TSX
Denison Mines Corp.,DML,TSX
IsoEnergy Ltd.,ISO,TSX
Global Atomic Corporation,GLO,TSX
Atha Energy Corp.,SASK,TSXV
Mega Uranium Ltd.,MGA,TSX
Laramide Resources Ltd.,LAM,TSX
Anfield Energy Inc.,AEC,TSXV
F3 Uranium Corp.,FUU,TSXV
Skyharbour Resources Ltd.,SYH,TSXV
District Metals Corp.,DMX,TSXV
Forsys Metals Corp.,FSY,TSX
Midland Exploration Inc.,MD,TSXV
Future Fuels Inc.,FTUR,TSXV
Homeland Uranium Corp.,HLU,TSXV
Latin Metals Inc.,LMS,TSXV
Blue Sky Uranium Corp.,BSK,TSXV
DPM Metals Inc.,DPM,TSX
