symbol,company_name,exchange,sedar_party_number
EMO,Emerita Resources Corp.,TSXV,000030331
ETG,Entree Resources Ltd.,TSX,000008502
ERD,Erdene Resource Development Corporation,TSX,000020308
ESM,Euro Sun Mining Inc.,TSX,000018939
EXN,Excellon Resources Inc.,TSXV,000003353
FPC,Falco Resources Ltd.,TSXV,000006234
FF,First Mining Gold Corp.,TSX,000022404
FVL,Freegold Ventures Limited,TSX,000004004
FURY,Fury Gold Mines Limited,TSX,000027371
GMIN,G Mining Ventures Corp.,TSX,000105535
GTWO,G2 Goldfields Inc.,TSX,000030528
GGO,Galleon Gold Corp.,TSXV,000005617
GG,Golconda Gold Ltd.,TSXV,000026925
YGT,Gold Terra Resource Corp.,TSXV,000026739
AUXX,Gold X2 Mining Inc.,TSXV,000030293
GOLD,GoldMining Inc.,TSX,000031036
GGA,Goldgroup Mining Inc.,TSXV,000003703
GQC,GoldQuest Mining Corp.,TSXV,000000204
GSKR,Goldsky Resources Corp.,TSXV,000037711
GCU,Gunnison Copper Corp,TSX,000025928
HAR,Harfang Exploration inc.,TSXV,000030679
HSTR,Heliostar Metals Ltd.,TSXV,000007462
HHH,Helius Minerals Limited,TSXV,000028621
HSLV,Highlander Silver Corp.,TSX,000045337
ITH,International Tower Hill Mines Ltd.,TSX,000005628
KCC,Kincora Copper Limited,TSXV,000003952
KDK,Kodiak Copper Corp.,TSXV,000008822
KRY,Koryx Copper S.A.,TSXV,000005247
LG,Lahontan Gold Corp.,TSXV,000054817
LGC,Lavras Gold Corp.,TSXV,000054788
LIO,Lion One Metals Limited,TSXV,000010403
LUCA,Luca Mining Corp.,TSXV,000005208
MJS,Majestic Gold Corp.,TSXV,000006453
MGM,Maple Gold Mines Ltd.,TSXV,000031701
MARI,Marimaca Copper Corp.,TSX,000025132
MFG,Mayfair Gold Corp.,TSXV,000050362
MNO,Meridian Mining plc,TSX,000040264
MMG,Metallic Minerals Corp.,TSXV,000030833
MSR,Minsud Resources Corp.,TSXV,000026855
MMY,Monument Mining Limited,TSXV,000008911
NGEX,NGEx Minerals Ltd.,TSX,000047997
NEXG,NeXGold Mining Corp.,TSXV,000027114
NAU,Nevgold Corp.,TSXV,000031305
NFG,New Found Gold Corp.,TSXV,000049852
NCAU,Newcore Gold Ltd.,TSXV,000029680
NWST,Northwest Copper Corp.,TSXV,000005955
NG,NovaGold Resources Inc.,TSX,000000880
OMG,Omai Gold Mines Corp.,TSXV,000004216
OCO,Oroco Resource Corp.,TSXV,000026117
OMI,Orosur Mining Inc.,TSXV,000004014
ORV,Orvana Minerals Corp.,TSX,000003093
ODV,Osisko Development Corp.,TSXV,000024879
OM,Osisko Metals Incorporated,TSX,000015420
PGLD,P2 Gold Inc.,TSXV,000045664
PPX,PPX Mining Corp.,TSXV,000008773
PAAS,Pan American Silver Corp.,TSX,000002432
PGDC,Patagonia Gold Corp.,TSXV,000024372
PPTA,Perpetua Resources Corp.,TSX,000031687
RTG,RTG Mining Inc.,TSX,000034365
REG,Regulus Resources Inc.,TSXV,000030859
RVG,Revival Gold Inc.,TSXV,000028186
RM,Roxmore Resources Inc.,TSXV,000004744
RUA,Rua Gold Inc.,TSX,000034605
RUP,Rupert Resources Ltd.,TSX,000004604
STLR,STLLR Gold Inc.,TSX,000003301
SGN,Scorpio Gold Corporation,TSXV,000024186
SCOT,Scottie Resources Corp.,TSXV,000031828
SCMI,Selkirk Copper Mines Inc.,TSXV,000030029
VIPR,Silver Viper Minerals Corp.,TSXV,000042333
SVM,Silvercorp Metals Inc.,TSX,000006210
SIG,Sitka Gold Corp.,TSXV,000042919
SKE,Skeena Resources Limited,TSX,000007875
SGD,Snowline Gold Corp.,TSX,000046277
SOMA,Soma Gold Corp.,TSXV,000030511
SXGC,Southern Cross Gold Consolidated Ltd.,TSX,000021162
SPA,Spanish Mountain Gold Ltd.,TSXV,000008849
SAU,St. Augustine Gold and Copper Limited,TSX,000029999
STGO,Steppe Gold Ltd.,TSX,000043280
SURG,Surge Copper Corp.,TSXV,000016002
TDG,TDG Gold Corp.,TSXV,000045294
TRX,TRX Gold Corporation,TSX,000008194
TSK,Talisker Resources Ltd.,TSX,000005798
TUO,Teuton Resources Corp.,TSXV,000008844
TAU,Thesis Gold & Silver Inc.,TSXV,000033260
THX,Thor Explorations Ltd.,TSXV,000028877
ROCK,Trident Resources Corp.,TSXV,000006156
TMQ,Trilogy Metals Inc.,TSX,000033050
TLG,Troilus Mining Corp.,TSX,000005620
TUD,Tudor Gold Corp.,TSXV,000029904
UGD,Unigold Inc.,TSXV,000004036
VCU,Vizsla Copper Corp.,TSXV,000053112
WM,Wallbridge Mining Company Limited,TSX,000010252
WPG,West Point Gold Corp.,TSXV,000021938
WRLG,West Red Lake Gold Mines Ltd.,TSXV,000003014
WVM,West Vault Mining Inc.,TSXV,000025437
WRN,Western Copper and Gold Corporation,TSX,000023684
IAU,i-80 Gold Corp.,TSX,000052022
APM,Andean Precious Metals Corp.,TSX,000047056
APGO,Apollo Silver Corp.,TSXV,000020146
AGAG,Argenta Silver Corp.,TSXV,000009657
ASM,Avino Silver & Gold Mines Ltd.,TSX,000004926
BOL,Bold Ventures Inc.,TSXV,000025465
EDR,Endeavour Silver Corp.,TSX,000018368
AG,First Majestic Silver Corp.,TSX,000005496
GSVR,Guanajuato Silver Company Ltd.,TSXV,000007595
KTN,Kootenay Silver Inc.,TSXV,000016508
NUAG,New Pacific Metals Corp.,TSX,000006180
OCG,Outcrop Silver & Gold Corporation,TSX,000005232
SCZ,Santacruz Silver Mining Ltd.,TSXV,000031795
AGMR,Silver Mountain Resources Inc.,TSX,000052252
SVE,Silver One Resources Inc.,TSXV,000026309
SVRS,Silver Storm Mining Ltd.,TSXV,000008030
SLVR,Silver Tiger Metals Inc.,TSXV,000030449
AYA,Aya Gold & Silver Inc.,TSX,000026913
BZ,Benz Mining Corp.,TSXV,000033110
