"symbol","company_name","exchange","sedar_party_number"
"SOMA","Soma Gold Corp.","TSXV","000030511"
"SXGC","Southern Cross Gold Consolidated Ltd.","TSX","000021162"
"SPA","Spanish Mountain Gold Ltd.","TSXV","000008849"
"SAU","St. Augustine Gold and Copper Limited","TSX","000029999"
"STGO","Steppe Gold Ltd.","TSX","000043280"
"SURG","Surge Copper Corp.","TSXV","000016002"
"TDG","TDG Gold Corp.","TSXV","000045294"
"TRX","TRX Gold Corporation","TSX","000008194"
"TSK","Talisker Resources Ltd.","TSX","000005798"
"TUO","Teuton Resources Corp.","TSXV","000008844"
"TAU","Thesis Gold & Silver Inc.","TSXV","000033260"
"THX","Thor Explorations Ltd.","TSXV","000028877"
"ROCK","Trident Resources Corp.","TSXV","000006156"
"TMQ","Trilogy Metals Inc.","TSX","000033050"
"TLG","Troilus Mining Corp.","TSX","000005620"
"TUD","Tudor Gold Corp.","TSXV","000029904"
"UGD","Unigold Inc.","TSXV","000004036"
"VCU","Vizsla Copper Corp.","TSXV","000053112"
"WM","Wallbridge Mining Company Limited","TSX","000010252"
"WPG","West Point Gold Corp.","TSXV","000021938"
"WRLG","West Red Lake Gold Mines Ltd.","TSXV","000003014"
"WVM","West Vault Mining Inc.","TSXV","000025437"
"WRN","Western Copper and Gold Corporation","TSX","000023684"
"IAU","i-80 Gold Corp.","TSX","000052022"
"APM","Andean Precious Metals Corp.","TSX","000047056"
"APGO","Apollo Silver Corp.","TSXV","000020146"
"AGAG","Argenta Silver Corp.","TSXV","000009657"
"ASM","Avino Silver & Gold Mines Ltd.","TSX","000004926"
"BOL","Bold Ventures Inc.","TSXV","000025465"
"EDR","Endeavour Silver Corp.","TSX","000018368"
"AG","First Majestic Silver Corp.","TSX","000005496"
"GSVR","Guanajuato Silver Company Ltd.","TSXV","000007595"
"KTN","Kootenay Silver Inc.","TSXV","000016508"
"NUAG","New Pacific Metals Corp.","TSX","000006180"
"OCG","Outcrop Silver & Gold Corporation","TSX","000005232"
"SCZ","Santacruz Silver Mining Ltd.","TSXV","000031795"
"AGMR","Silver Mountain Resources Inc.","TSX","000052252"
"SVE","Silver One Resources Inc.","TSXV","000026309"
"SVRS","Silver Storm Mining Ltd.","TSXV","000008030"
"SLVR","Silver Tiger Metals Inc.","TSXV","000030449"
"AYA","Aya Gold & Silver Inc.","TSX","000026913"
